"","id","abstract","title","included_ats","included_final"
"1",413,"Objectives. The study examined the long-term course of posttraumatic stress disorder (PTSD) by analyzing rates of recurrence and the predictive value of comorbid psychiatric disorders and psychosocial functioning. Methods. This study is based on diagnostic assessments administered at intake and subsequent follow-up interviews over a period of 15 years in a sample of 90 anxiety-disordered patients with comorbid PTSD who participated in the Harvard Brown Anxiety Research project (HARP). KaplanMeier life table analysis revealed a 0.20 probability of full remission during the 15 years of follow-up. Results. Latent growth model (LGM) analysis revealed that the number of trauma exposures was a predictor of a worse course of PTSD but only during some intervals of the 15-year follow-up. Subjects with full social phobia were more likely to experience worsening of PTSD over time in comparison with subjects with less severe social phobia. Role functioning in the areas of household and employment was a significant predictor of a declining course of PTSD. Conclusions. These findings revealed the dynamic nature of the predictive value of traumatic experiences, the deleterious effect of social phobia and the long term effect of psychosocial functioning on the course of PTSD. Implications for treatment planning and development of interventions for PTSD are discussed. © 2013 Informa Healthcare.","predictors of the long-term course of comorbid ptsd: a naturalistic prospective study",1,0
"2",413,"Objectives. The study examined the long-term course of posttraumatic stress disorder (PTSD) by analyzing rates of recurrence and the predictive value of comorbid psychiatric disorders and psychosocial functioning. Methods. This study is based on diagnostic assessments administered at intake and subsequent follow-up interviews over a period of 15 years in a sample of 90 anxiety-disordered patients with comorbid PTSD who participated in the Harvard Brown Anxiety Research project (HARP). KaplanMeier life table analysis revealed a 0.20 probability of full remission during the 15 years of follow-up. Results. Latent growth model (LGM) analysis revealed that the number of trauma exposures was a predictor of a worse course of PTSD but only during some intervals of the 15-year follow-up. Subjects with full social phobia were more likely to experience worsening of PTSD over time in comparison with subjects with less severe social phobia. Role functioning in the areas of household and employment was a significant predictor of a declining course of PTSD. Conclusions. These findings revealed the dynamic nature of the predictive value of traumatic experiences, the deleterious effect of social phobia and the long term effect of psychosocial functioning on the course of PTSD. Implications for treatment planning and development of interventions for PTSD are discussed. © 2013 Informa Healthcare.","predictors of the long-term course of comorbid ptsd: a naturalistic prospective study",1,0
"3",740,"Background: Most previous attempts to determine the psychological cost of military deployment have been limited by reliance on convenience samples, lack of pre-deployment data or confidentiality and cross-sectional designs. Aims: This study addressed these limitations using a population-based, prospective cohort of US military personnel deployed in support of the operations in Iraq and Afghanistan. Method: The sample consisted of US military service members in all branches including active duty, reserve and national guard who deployed once (n = 3393) or multiple times (n = 4394). Self-reported symptoms of post-traumatic stress were obtained prior to deployment and at two follow-ups spaced 3 years apart. Data were examined for longitudinal trajectories using latent growth mixture modelling. Results: Each analysis revealed remarkably similar post-traumatic stress trajectories across time. The most common pattern was low-stable post-traumatic stress or resilience (83.1% single deployers, 84.9% multiple deployers), moderate-improving (8.0%, 8.5%), then worsening-chronic post-traumatic stress (6.7%, 4.5%), high-stable (2.2% single deployers only) and high-improving (2.2% multiple deployers only). Covariates associated with each trajectory were identified. Conclusions: The final models exhibited similar types of trajectories for single and multiple deployers; most notably, the stable trajectory of low post-traumatic stress pre- to post-deployment, or resilience, was exceptionally high. Several factors predicting trajectories were identified, which we hope will assist in future research aimed at decreasing the risk of post-traumatic stress disorder among deployers.","trajectories of trauma symptoms and resilience in deployed us military service members: prospective cohort study",1,1
"4",740,"Background: Most previous attempts to determine the psychological cost of military deployment have been limited by reliance on convenience samples, lack of pre-deployment data or confidentiality and cross-sectional designs. Aims: This study addressed these limitations using a population-based, prospective cohort of US military personnel deployed in support of the operations in Iraq and Afghanistan. Method: The sample consisted of US military service members in all branches including active duty, reserve and national guard who deployed once (n = 3393) or multiple times (n = 4394). Self-reported symptoms of post-traumatic stress were obtained prior to deployment and at two follow-ups spaced 3 years apart. Data were examined for longitudinal trajectories using latent growth mixture modelling. Results: Each analysis revealed remarkably similar post-traumatic stress trajectories across time. The most common pattern was low-stable post-traumatic stress or resilience (83.1% single deployers, 84.9% multiple deployers), moderate-improving (8.0%, 8.5%), then worsening-chronic post-traumatic stress (6.7%, 4.5%), high-stable (2.2% single deployers only) and high-improving (2.2% multiple deployers only). Covariates associated with each trajectory were identified. Conclusions: The final models exhibited similar types of trajectories for single and multiple deployers; most notably, the stable trajectory of low post-traumatic stress pre- to post-deployment, or resilience, was exceptionally high. Several factors predicting trajectories were identified, which we hope will assist in future research aimed at decreasing the risk of post-traumatic stress disorder among deployers.","trajectories of trauma symptoms and resilience in deployed us military service members: prospective cohort study",1,1
"5",1689,"We conducted a follow-up assessment to assess the development of Posttraumatic Stress Disorder (PTSD) and depression among Chinese immigrants after the World Trade Center attack. Sixty-five Chinese displaced workers who were originally interviewed in May 2002 were re-interviewed in March 2003. Whereas depression scores decreased over time, average PTSD scores remained unchanged. The trajectory of posttraumatic stress symptoms was more complex, with an increasing number of individuals who show no or little emotional health problems and another increasing group of individuals with exacerbated posttraumatic stress symptoms. Although the mean values of the re-experiencing and hypervigilance cluster did not change over time, the mean value of the avoidance/numbing cluster increased significantly from time 1 (M = 4.60, SD = 4.98) to time 2 (M = 6.34, SD = 4.24), (F1.61 = 5.69, P = .02). A higher proportion of subjects met diagnostic criteria of PTSD at time 2 (27%) than at time 1 (21%). The study highlights the importance of ongoing mental health surveillance of diverse cultural and linguistic groups after a major traumatic event. (copyright) The Author 2005. Published by Oxford University Press on behalf of the New York Academy of Medicine. All rights reserved.","ptsd and depression among displaced chinese workers after the world trade center attack: a follow-up study",1,0
"6",1689,"We conducted a follow-up assessment to assess the development of Posttraumatic Stress Disorder (PTSD) and depression among Chinese immigrants after the World Trade Center attack. Sixty-five Chinese displaced workers who were originally interviewed in May 2002 were re-interviewed in March 2003. Whereas depression scores decreased over time, average PTSD scores remained unchanged. The trajectory of posttraumatic stress symptoms was more complex, with an increasing number of individuals who show no or little emotional health problems and another increasing group of individuals with exacerbated posttraumatic stress symptoms. Although the mean values of the re-experiencing and hypervigilance cluster did not change over time, the mean value of the avoidance/numbing cluster increased significantly from time 1 (M = 4.60, SD = 4.98) to time 2 (M = 6.34, SD = 4.24), (F1.61 = 5.69, P = .02). A higher proportion of subjects met diagnostic criteria of PTSD at time 2 (27%) than at time 1 (21%). The study highlights the importance of ongoing mental health surveillance of diverse cultural and linguistic groups after a major traumatic event. (copyright) The Author 2005. Published by Oxford University Press on behalf of the New York Academy of Medicine. All rights reserved.","ptsd and depression among displaced chinese workers after the world trade center attack: a follow-up study",1,0
"7",3583,"The authors designed a study to identify those independent variables which would statistically discriminate between a group of Viet Nam veterans who were experiencing posttraumatic stress disorder and those who were not. DSM-III criteria for diagnosis were used to measure and operationally define posttraumatic stress disorder. Five variables distinguished between groups: veterans with the disorder reported a negative perception of their family's helpfulness on return home, a higher level of combat, a more immediate discharge after the war, an external locus of control, and a more supportive attitude toward the war before they entered the service. The authors discuss the implications and limitations of these findings.","discriminant analysis of the posttraumatic stress disorder among a group of viet nam veterans",1,0
"8",7638,"The authors designed a study to identify those independent variables which would statistically discriminate between a group of Viet Nam veterans who were experiencing posttraumatic stress disorder and those who were not. DSM-III criteria for diagnosis were used to measure and operationally define posttraumatic stress disorder. Five variables distinguished between groups: veterans with the disorder reported a negative perception of their family's helpfulness on return home, a higher level of combat, a more immediate discharge after the war, an external locus of control, and a more supportive attitude toward the war before they entered the service. The authors discuss the implications and limitations of these findings.","discriminant analysis of posttraumatic stress disorder among a group of viet nam veterans",0,0
"9",6567,"To develop new Minnesota Multiphasic Personality Inventory (MMPI) scales for diagnosing acute and chronic posttraumatic stress disorder (PTSD), 237 civilians with PTSD or panic disorder (controls) completed the MMPI-R. All 399 items were submitted to chi-square analysis to select those differentiating acute or chronic PTSD from controls. The analyses yielded an MMPI Acute PTSD scale (32 items) and a MMPI Chronic PTSD scale (41 items). Discriminating between acute PTSD and controls, the MMPI Acute PTSD scale had a hit rate of 83% and the MMPI Chronic PTSD scale produced a hit rate of 75% to 80%. Cross-validation produced similar hit rates. These scales scores were not substantially influenced by gender or types of traumatic events, and only the MMPI Acute PTSD scale seemed to not be sensitive to co-morbidity.","mmpi scales for diagnosing acute and chronic ptsd in civilians. minnesota multiphasic personality inventory",0,0
"10",10735,"To develop new Minnesota Multiphasic Personality Inventory (MMPI) scales for diagnosing acute and chronic posttraumatic stress disorder (PTSD), 237 civilians with PTSD or panic disorder (controls) completed the MMPI-R. All 399 items were submitted to chi-square analysis to select those differentiating acute or chronic PTSD from controls. The analyses yielded an MMPI Acute PTSD scale (32 items) and a MMPI Chronic PTSD scale (41 items). Discriminating between acute PTSD and controls, the MMPI Acute PTSD scale had a hit rate of 83% and the MMPI Chronic PTSD scale produced a hit rate of 75% to 80%. Cross-validation produced similar hit rates. These scales scores were not substantially influenced by gender or types of traumatic events, and only the MMPI Acute PTSD scale seemed to not be sensitive to co-morbidity.","mmpi scales for diagnosing acute and chronic ptsd in civilians",0,0
"11",939,"This study analyzed trajectories of initial stress and long-term mental health after the 1980 North Sea oil rig disaster. A growth-mixture model of the survivors' stress manifestations in the first 8 weeks (Posttraumatic Stress Scale, [PTSS-10]) and general mental health in 1980, 1981, 1985, and 2007 (General Health Questionnaire, [GHQ-20]) was estimated. Survivors' GHQ-scores in 1985 and 2007 were contrasted to those of a comparison group. Four trajectories were identified among survivors. The resilient (n = 43) displayed initially moderate stress that rapidly declined. The recovery (n = 10), chronic (n = 8), and relapse (n = 9) showed initially stable high stress scores, but the long-term mental health differed. Early screening may identify those at long-term risk. © 2011 International Society for Traumatic Stress Studies.","disaster survivors in their third decade: trajectories of initial stress responses and long-term course of mental health",1,1
"12",939,"This study analyzed trajectories of initial stress and long-term mental health after the 1980 North Sea oil rig disaster. A growth-mixture model of the survivors' stress manifestations in the first 8 weeks (Posttraumatic Stress Scale, [PTSS-10]) and general mental health in 1980, 1981, 1985, and 2007 (General Health Questionnaire, [GHQ-20]) was estimated. Survivors' GHQ-scores in 1985 and 2007 were contrasted to those of a comparison group. Four trajectories were identified among survivors. The resilient (n = 43) displayed initially moderate stress that rapidly declined. The recovery (n = 10), chronic (n = 8), and relapse (n = 9) showed initially stable high stress scores, but the long-term mental health differed. Early screening may identify those at long-term risk. © 2011 International Society for Traumatic Stress Studies.","disaster survivors in their third decade: trajectories of initial stress responses and long-term course of mental health",1,1
